CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,Mark
-0.02680025,-0.00643501,0.09333272,0.13405998,0.11414135,0.11145888,-0.06655809,0.0665602,-0.01372306,0.01896757,0.01021631,0.06887448,0.03034154,0.04571476,0.0439609,0.29687339,-0.19056399,-0.01989885,0.04865472,0.02505921,0.00054232,0.01712922,0.03708352,0.05765907,0.07383276,0.08253883,-0.0993543,-0.08839256,0.07681845,0.08354833,0.06039305,0.08145657,0.05963479,0.10740848,0.08500946,-0.00988614,0.1138157,-0.14972454,0.08830945,0.05886132,0.03526484,0.13286588,0.0566862,0.05362857,0.01331388,0.06680556,0.06686998,0.0559677,0.01143661,0.02592327,0.05413593,0.11126284,PASSTHOUGHT
-0.03385687,-0.01995611,0.05934178,0.11977256,0.09980523,0.09576515,-0.0962548,0.02834958,-0.02568035,0.0186386,0.01296187,0.051088,0.00987442,0.04005395,0.04040526,0.27754137,-0.18779583,-0.03510633,0.04048282,0.0329544,0.00443366,0.0113517,0.01419922,0.05314666,0.07128726,0.08060361,-0.1045517,-0.08497595,0.07458401,0.08911885,0.07147729,0.08892617,0.05693195,0.1022485,0.09214481,-0.00493792,0.10833485,-0.15520021,0.08896311,0.06280923,0.04213333,0.13528056,0.06413392,0.05382474,0.01427772,0.06870684,0.07118408,0.05464026,0.00459269,0.0315998,0.06108941,0.11517053,PASSTHOUGHT
-0.04037804,-0.03233832,0.02839239,0.1071972,0.08598297,0.08056112,-0.12395935,-0.00787998,-0.03626708,0.01839852,0.01547739,0.03419459,-0.00946276,0.03414686,0.0368823,0.25772423,-0.18681721,-0.04965938,0.03235121,0.04027012,0.00779025,0.00585069,-0.00737085,0.04804527,0.0687947,0.07782365,-0.1115385,-0.08287384,0.07249488,0.09417643,0.08201412,0.09599187,0.05381545,0.09639683,0.09909176,0.00003131,0.10281822,-0.16136487,0.08957937,0.0662917,0.04908597,0.13771357,0.07124247,0.05382964,0.01513075,0.07126062,0.07611,0.05367519,-0.00110308,0.0369485,0.06809884,0.11927496,PASSTHOUGHT
-0.04630367,-0.04343862,0.00069739,0.09640248,0.07282306,0.06603421,-0.14936806,-0.04168536,-0.04545306,0.01818192,0.01768906,0.01836082,-0.02741393,0.02801932,0.0334916,0.23774548,-0.18752751,-0.06341048,0.02428469,0.04687534,0.01053194,0.00066599,-0.02739108,0.04242497,0.06628855,0.07426661,-0.12007617,-0.08208453,0.07047757,0.09863211,0.09180813,0.10258717,0.05036928,0.08996987,0.10562692,0.0048671,0.09731352,-0.16818887,0.09004872,0.06925526,0.05599622,0.14008492,0.07791694,0.05364609,0.01577787,0.07430838,0.08139851,0.0529777,-0.00577697,0.04183603,0.07504994,0.12348589,PASSTHOUGHT
-0.05160614,-0.05318175,-0.02371385,0.08737026,0.06042633,0.05231524,-0.17232537,-0.07278805,-0.05327803,0.01793267,0.01954928,0.00367852,-0.04381027,0.02169916,0.03031617,0.2178888,-0.18975541,-0.07626539,0.01630251,0.0526841,0.0126189,-0.00418639,-0.04572759,0.03637069,0.06370445,0.07002771,-0.12987989,-0.08254496,0.06845878,0.10242753,0.10071675,0.10866735,0.04668269,0.08309411,0.11156813,0.00943665,0.09186473,-0.1756222,0.09027876,0.07166969,0.06274974,0.14232384,0.08409089,0.05328111,0.01614204,0.07768429,0.08680557,0.05245024,-0.00958975,0.04616195,0.08183769,0.12771179,PASSTHOUGHT
-0.05628712,-0.06155626,-0.04497403,0.08000721,0.04884746,0.03947874,-0.19281492,-0.10107391,-0.05984008,0.01760245,0.02103589,-0.00983037,-0.05857147,0.01521328,0.02741638,0.19838735,-0.19327864,-0.0881843,0.00841911,0.05765363,0.01404364,-0.00871429,-0.06234346,0.02997494,0.06098069,0.06521934,-0.14064123,-0.08414557,0.06636669,0.10553124,0.10864864,0.11420545,0.04284273,0.07589632,0.11677808,0.01362926,0.08650984,-0.1836036,0.09019377,0.07352389,0.06924771,0.14436869,0.08972364,0.0527421,0.01616317,0.0812205,0.09210462,0.05199583,-0.01272774,0.04985775,0.08836881,0.13186212,PASSTHOUGHT
-0.06133297,-0.06985389,-0.06423998,0.07675139,0.0399529,0.02842687,-0.21635984,-0.13020395,-0.06706334,0.01874299,0.02215067,-0.02229135,-0.07321291,0.00961622,0.02593166,0.18583249,-0.20332244,-0.10081476,0.00309089,0.06507257,0.01575619,-0.01287314,-0.07871699,0.02391655,0.06031694,0.06318901,-0.15493838,-0.09032419,0.06635856,0.11168449,0.11982755,0.12180355,0.03998506,0.07040033,0.12438302,0.01853732,0.08522781,-0.19730736,0.09281096,0.07762781,0.07767196,0.15099902,0.09741135,0.0533948,0.01721072,0.08793524,0.10113679,0.05404776,-0.01448672,0.05517821,0.09738651,0.13996567,PASSTHOUGHT
-0.06605361,-0.07731339,-0.08206042,0.07418502,0.03116833,0.01774486,-0.2384077,-0.15771131,-0.07365294,0.01967845,0.02308309,-0.03429645,-0.08704279,0.00373229,0.02482406,0.17318384,-0.21401268,-0.11280535,-0.00271646,0.07175598,0.01692177,-0.01680502,-0.09425045,0.01758758,0.05934336,0.06063577,-0.16969073,-0.09710493,0.06617924,0.1173078,0.13006385,0.12930676,0.03704365,0.06463295,0.13134432,0.02326583,0.08382479,-0.21149653,0.09515774,0.08146944,0.08593304,0.15730108,0.1049015,0.0540276,0.01794851,0.09473631,0.10971193,0.05595938,-0.01590355,0.06016364,0.106392,0.14794511,PASSTHOUGHT
-0.07049313,-0.08402068,-0.0988535,0.07202646,0.02240211,0.00736722,-0.25910032,-0.18370427,-0.07976908,0.02031594,0.02386534,-0.04594789,-0.10017286,-0.00242254,0.02407455,0.16039951,-0.22497047,-0.12422217,-0.00910602,0.0776739,0.0175107,-0.02053639,-0.10906123,0.01109044,0.05794236,0.05759677,-0.18456678,-0.10426793,0.06571037,0.12236296,0.13926181,0.13671789,0.03412341,0.05868714,0.13757223,0.0277427,0.08223098,-0.22603887,0.0971165,0.08504456,0.09397259,0.16314821,0.11219515,0.05467989,0.01833236,0.10141625,0.11757182,0.05757476,-0.01724819,0.06477454,0.11532753,0.15566395,PASSTHOUGHT
-0.07470433,-0.09008703,-0.11507615,0.06998228,0.013546,-0.00280661,-0.27864602,-0.20837507,-0.08557974,0.02056966,0.02454487,-0.05737756,-0.11275938,-0.00884172,0.02362473,0.14737362,-0.23583043,-0.13517648,-0.01616961,0.08282288,0.01750892,-0.02410722,-0.12330904,0.00451046,0.05599525,0.05409538,-0.19927961,-0.11160149,0.06483103,0.12682083,0.14736822,0.14404127,0.03131349,0.05263111,0.14300816,0.03190542,0.08036085,-0.24081342,0.0985686,0.0883462,0.10175061,0.16842446,0.1193032,0.05538159,0.01833105,0.10777435,0.12449748,0.0587442,-0.01879082,0.06898133,0.12414188,0.16299032,PASSTHOUGHT
