CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,Mark
0.08597339,0.0567557,-0.0199694,-0.05289716,-0.03392248,-0.00006939,-0.03556963,0.03422191,0.03859612,-0.03004431,0.01435375,-0.02607034,0.0078332,0.01666639,-0.0054851,0.00247984,0.01857855,-0.04275443,0.0092578,-0.03422843,-0.0238448,-0.01376933,-0.02360749,0.01220557,0.05673765,0.02069699,0.03193022,0.00023717,-0.01120532,-0.05205974,-0.04579839,-0.0345646,-0.03251358,0.04257366,0.10159259,0.00161525,-0.03601296,0.05286738,0.11496434,-0.05518158,-0.12381556,-0.04562707,0.02767003,0.0173713,0.17124523,0.02768876,-0.04654741,0.00760009,0.12040884,0.04348584,-0.10617037,-0.03819707,PASSTHOUGHT
0.08661515,0.05687035,-0.0205061,-0.05363504,-0.03386454,0.00023384,-0.03602519,0.03481473,0.039913,-0.02913856,0.01548783,-0.02581805,0.00773438,0.0170552,-0.00544785,0.00275477,0.01891934,-0.04330225,0.0103969,-0.03346119,-0.02310157,-0.01222418,-0.02280942,0.01258123,0.05775496,0.02077399,0.03178408,0.00035442,-0.0105047,-0.05049156,-0.04480752,-0.03255548,-0.03084823,0.0429553,0.10223475,-0.00031579,-0.03764375,0.05300935,0.11611529,-0.05342719,-0.12321537,-0.04476492,0.02840359,0.01767996,0.1724214,0.02705267,-0.04887465,0.00707443,0.12132504,0.04432884,-0.1060863,-0.03720783,PASSTHOUGHT
0.08722352,0.05695933,-0.02105464,-0.05437193,-0.0338316,0.00050236,-0.0364686,0.03540921,0.04124695,-0.0282628,0.01663809,-0.02553867,0.00761804,0.01744059,-0.00543826,0.00301882,0.01923875,-0.04380678,0.01154141,-0.03268796,-0.02235514,-0.0106455,-0.02198915,0.01292355,0.05875187,0.02084021,0.03168133,0.00045089,-0.00978957,-0.04886401,-0.04377837,-0.03046651,-0.02911671,0.0433101,0.10282221,-0.00224869,-0.03927169,0.0531533,0.11716751,-0.05160293,-0.12252468,-0.04383964,0.02918175,0.01801748,0.17349243,0.0263527,-0.05120028,0.00651304,0.12217278,0.04515378,-0.10593055,-0.03615591,PASSTHOUGHT
0.08780153,0.0570292,-0.02160822,-0.05510782,-0.03383231,0.00072949,-0.03689214,0.03599905,0.04260452,-0.02741976,0.01780784,-0.02523138,0.00748806,0.01782446,-0.00546241,0.00326984,0.01953229,-0.04426153,0.01269895,-0.03190126,-0.02160581,-0.00902864,-0.0211422,0.01323259,0.05972423,0.0209065,0.031636,0.00053225,-0.0090558,-0.04716922,-0.04270369,-0.0282934,-0.02730361,0.04364424,0.10335641,-0.00413277,-0.04086119,0.05330456,0.11811554,-0.04970538,-0.12174501,-0.04284459,0.03001483,0.01839767,0.17446689,0.02562025,-0.0534671,0.00593898,0.12295234,0.04596206,-0.10570119,-0.03503969,PASSTHOUGHT
0.08835271,0.05708636,-0.02216085,-0.05584282,-0.03387417,0.00090888,-0.03729319,0.03657809,0.04398985,-0.02661221,0.0189989,-0.02489682,0.00734789,0.0182077,-0.00552468,0.00350547,0.01979574,-0.04466221,0.01387565,-0.03109389,-0.02085432,-0.00737192,-0.02026678,0.01350884,0.06066891,0.02098351,0.03166103,0.00060451,-0.0083005,-0.04540244,-0.04157725,-0.02603748,-0.02539812,0.04396359,0.10384005,-0.00591559,-0.04237452,0.0534693,0.11895671,-0.04773442,-0.12088103,-0.04177519,0.0309093,0.01883178,0.17535543,0.02488867,-0.05561629,0.00537781,0.1236658,0.04675458,-0.1053992,-0.0338602,PASSTHOUGHT
0.08888052,0.05713639,-0.02270842,-0.0565782,-0.03396407,0.00103352,-0.03766815,0.03713861,0.04540402,-0.02584378,0.02021066,-0.02453797,0.00719943,0.01858913,-0.0056289,0.00372231,0.02002442,-0.04500783,0.0150752,-0.03025993,-0.02010258,-0.00567699,-0.01936386,0.01375207,0.06158232,0.02107985,0.03176634,0.00067227,-0.00752276,-0.04356216,-0.04039434,-0.02370525,-0.02339439,0.04427249,0.10427538,-0.00754768,-0.04377567,0.0536527,0.11969021,-0.04569353,-0.1199405,-0.04062959,0.03186665,0.01932775,0.17616864,0.02418989,-0.05759208,0.00485472,0.12431619,0.04753154,-0.10502823,-0.03262105,PASSTHOUGHT
0.09087802,0.05837525,-0.02352357,-0.05814431,-0.03442151,0.00231992,-0.0377322,0.03888211,0.04956115,-0.02389727,0.02248258,-0.024106,0.00726524,0.01952104,-0.00567495,0.00443533,0.02156278,-0.04543824,0.01810874,-0.02793478,-0.01833461,-0.00295512,-0.01800595,0.01432934,0.06389941,0.02228026,0.03267157,0.00144246,-0.0058231,-0.04052871,-0.03785245,-0.020422,-0.0202895,0.04556701,0.10634429,-0.00791618,-0.04366548,0.05509099,0.12289158,-0.0425427,-0.11880232,-0.03890426,0.03385108,0.0208296,0.18057245,0.02495485,-0.05783777,0.00570519,0.12659176,0.04984791,-0.1045802,-0.03097629,PASSTHOUGHT
0.09283099,0.05956266,-0.02433838,-0.05972077,-0.03491179,0.0035706,-0.03772556,0.04061839,0.05374467,-0.02190964,0.02486782,-0.02359966,0.00733641,0.02049753,-0.00574263,0.00514031,0.02308248,-0.04577389,0.02116987,-0.02552464,-0.01651905,-0.00008077,-0.01653011,0.01496464,0.06628983,0.02355721,0.03367409,0.00230872,-0.00402699,-0.03729166,-0.03520087,-0.01688609,-0.0169579,0.04692325,0.10840461,-0.00797709,-0.0433838,0.05659637,0.12608767,-0.03918223,-0.1175449,-0.03696364,0.03594743,0.02247309,0.18495557,0.02590636,-0.0577685,0.00666056,0.12885283,0.05221788,-0.10403064,-0.02913896,PASSTHOUGHT
0.0947253,0.06068485,-0.02514545,-0.06129999,-0.03543118,0.00477289,-0.03765488,0.04233689,0.0579269,-0.01988672,0.0273608,-0.02301932,0.00741667,0.02151835,-0.00582977,0.00583726,0.02457825,-0.04601542,0.02424517,-0.0230432,-0.01466093,0.00293656,-0.01493576,0.0156611,0.06875081,0.02491166,0.03477547,0.00327921,-0.00214126,-0.03386452,-0.03245083,-0.01311582,-0.01340946,0.04833192,0.11044898,-0.00769668,-0.04292135,0.0581652,0.1292697,-0.03562067,-0.11618503,-0.03480826,0.03814191,0.02424514,0.18929066,0.02706593,-0.05737112,0.00772829,0.13110594,0.05462916,-0.10339369,-0.02710881,PASSTHOUGHT
0.09654537,0.0617263,-0.02594223,-0.06287792,-0.03597755,0.00590896,-0.03753725,0.0440224,0.06207761,-0.01784072,0.02994823,-0.0223711,0.0075042,0.02257557,-0.00593811,0.00652152,0.02603823,-0.04617361,0.02731988,-0.02050908,-0.01277013,0.00608114,-0.01322897,0.01641273,0.07126811,0.02633255,0.03596647,0.00434981,-0.00017897,-0.03026637,-0.02961736,-0.00913405,-0.00966103,0.04977478,0.11246096,-0.0070703,-0.0422904,0.05978209,0.1324216,-0.03187178,-0.11474125,-0.03244646,0.04041481,0.02612529,0.19353805,0.02843411,-0.05666226,0.00890031,0.13335341,0.05706433,-0.10268577,-0.02489108,PASSTHOUGHT
